commit	composite_score	status	description
baseline	0.44191	keep	baseline — initial state
33eca0b	0.48636	keep	vectorize DecisionTreeMapping for faster data generation (1838 steps vs 1350)
33eca0b	0.44932	revert	combine InterSampleAttention into single masked attention call (1801 steps, worse convergence)
d07a281	0.52339	keep	truncate logits to n_classes, truncate features, zero test target encoding, clamp test labels (1524 steps, Iris 0.56)
d07a281	0.46413	revert	replace Linear(1,D) target encoder with nn.Embedding(11,D) for class labels (2067 steps, Iris 0.38)
8931219	0.72716	keep	bias n_classes sampling toward 2-3 classes (2041 steps, Iris 0.64, Wine 0.65, BC 0.89)
8931219	0.43860	revert	normalize labels to [-1,1] + stronger n_classes bias [5,5,1..] (loss didn't converge well, Iris 0.33)
8931219	0.69064	revert	stronger n_classes bias [5,5,1..] only (2050 steps but worse than [3,3,1..] bias)
ed98e68	0.87044	keep	mean-pool across all feature columns for test embeddings (2052 steps, Iris 0.76, Wine 0.93, BC 0.93)
a727a3b	0.88122	keep	exclude target column from test embedding mean pool (2050 steps, Iris 0.73, Wine 0.96, BC 0.95)
7d3c550	0.91046	keep	label smoothing 0.1 in cross-entropy loss (2016 steps, Iris 0.84, Wine 0.96, BC 0.92)
ffe3420	0.88226	revert	reduce SCM graph max nodes 50->25 (2183 steps but lower quality data, Wine 0.89)
4b60832	0.89409	revert	deeper decoder 3-layer MLP with LayerNorm (1971 steps, Iris 0.78 — too many params)
3b2caab	0.89422	revert	ensemble inference with subsampled training data (BC 0.91, Wine 0.93 — subsampling adds noise)
0161b63	0.86069	revert	lower temperature 0.9->0.7 (Iris 0.76, BC 0.90 — too sharp amplifies errors)
6bf29b4	0.85445	revert	temperature 1.0 (BC 0.86 — slight sharpening with 0.9 was helping)
2e444b6	0.88447	revert	skip connection encoder->after final norm (BC 0.88 — raw encoder adds noise)
f27b63e	0.89090	revert	focal loss gamma=2 (Wine 0.98 but Iris 0.76 — too aggressive on easy examples)
0537df7	0.87979	revert	small decoder output init (higher loss, slower training)
7d3c550	0.90182	revert	max-pool instead of mean-pool for test embeddings (2004 steps, Iris 0.80, Wine 0.98, BC 0.92)
7d3c550	0.89298	revert	cosine LR schedule with effective_steps=2500 (1986 steps, Iris 0.82, Wine 0.94, BC 0.91 — too aggressive decay)
7d3c550	0.88668	revert	feature permutation TTA at inference (5 perms, Iris 0.76 — model uses position-dependent embeddings)
7d3c550	0.89227	revert	label smoothing 0.15 (Iris 0.84 same but Wine 0.93, BC 0.91 — too much smoothing)
7d3c550	0.87979	revert	Fourier feature encoding sin/cos in encoder (Iris 0.78, Wine 0.93 — slower convergence with more params)
7d3c550	0.90396	revert	reduce post-processing probs (1648 steps — random stream change, BC 0.94 but Wine 0.93, fewer steps)
7d3c550	0.87381	revert	SiLU activation instead of GELU (Iris 0.71 — SiLU hurts Iris discrimination)
7d3c550	0.89565	revert	allow NaN datasets through (don't skip) — 1579 steps, more data per step slowed training
7d3c550	0.90890	revert	shared layer weights across 3 transformer layers (161K→61K params, Iris 0.82 Wine 0.96 BC 0.94 — same step count, slightly worse loss)
7d3c550	0.89370	revert	nn.Embedding target encoder with unknown token for test positions (Iris 0.80 Wine 0.96 BC 0.92 — worse generalization)
7d3c550	0.53606	revert	class-balanced loss weights (inverse frequency) — disrupted training, 1484 steps, Iris/Wine random guessing
cd9fc20	0.91819	keep	remove LR warmup — constant LR from step 0 for faster convergence (Iris 0.86-0.89, Wine 0.94-1.0, BC 0.89-0.94)
cd9fc20	0.88135	revert	LR multiplier 2.0x (too aggressive, Iris 0.80 Wine 0.93 — training unstable)
cd9fc20	0.82053	revert	LR multiplier 1.5x (too aggressive, Iris 0.71 Wine 0.81 — training unstable)
cd9fc20	0.72963	revert	Xavier uniform initialization (broke MHA internal init, Iris 0.58 Wine 0.72)
